"regon14","nip","nazwa","woj","pow","gmi","miej","ul","nr","lok","miej_naz","ul_naz"
"01005430100000","5341109982","POWIATOWY URZĄD PRACY","14","21","021","0921510","04317","30","","Pruszków","ul. Michała Drzymały"
"01617974200000","1250559105","POWIATOWY URZĄD PRACY","14","34","124","0921792","23682","5A","","Wołomin","ul. Warszawska"
"01617974200027","1250559105","POWIATOWY URZĄD PRACY W WOŁOMINIE FILIA W TŁUSZCZU","14","34","114","0966441","23682","10","","Tłuszcz","ul. Warszawska"
"01617974200034","1250559105","POWIATOWY URZĄD PRACY W WOŁOMINIE FILIA URZĘDU W RADZYMINIE","14","34","094","0921591","23901","31","","Radzymin","ul. Weteranów"
"01618370300000","1231250393","POWIATOWY URZĄD PRACY W PIASECZNIE","14","18","044","0921438","03225","2/4","","Piaseczno","ul. Czajewicza"
"01618419200000","8371017418","POWIATOWY URZĄD PRACY W SOCHACZEWIE","14","28","011","0977120","10493","11","","Sochaczew","ul. Janusza Kusocińskiego"
"01618546400000","8381650904","POWIATOWY URZĄD PRACY W ŻYRARDOWIE","14","38","011","0977210","11074","45","","Żyrardów","ul. Bolesława Limanowskiego"
"01618588900000","5291555282","POWIATOWY URZĄD PRACY W GRODZISKU MAZOWIECKIM","14","05","044","0920380","32578","30","","Grodzisk Mazowiecki","ul. T. Kościuszki"
"01618965700000","5311460485","POWIATOWY URZĄD PRACY W NOWYM DWORZE MAZOWIECKIM","14","14","011","0921148","20291","6","","Nowy Dwór Mazowiecki","ul. Juliusza Słowackiego"
"01621041700000","1132191233","URZĄD PRACY MIASTA STOŁECZNEGO WARSZAWY","14","65","078","0918838","06137","171B","","Warszawa","ul. Grochowska"
"01621875500000","5361048628","POWIATOWY URZĄD PRACY","14","08","011","0920806","19907","11","","Legionowo","ul. gen. Władysława Sikorskiego"
"01626171600000","5321734352","POWIATOWY URZĄD PRACY W OTWOCKU","14","17","021","0921237","05948","11","","Otwock","ul. Górna"
"01627963300000","1181517485","POWIATOWY URZĄD PRACY DLA POWIATU WARSZAWSKIEGO ZACHODNIEGO","14","32","064","0921415","17394","131 A","","Ożarów Mazowiecki","ul. Poznańska"
"01636205000000","5272262656","WOJEWÓDZKI URZĄD PRACY W WARSZAWIE","14","65","188","0919884","02739","52","","Warszawa","ul. Chłodna"
"03001774400000","5371618010","POWIATOWY URZĄD PRACY W ŁOSICACH","14","10","024","0922120","14015","6","","Łosice","ul. Narutowicza"
"03029461000000","5391368266","POWIATOWY URZĄD PRACY W PARCZEWIE","06","13","044","0922254","01010","2","","Parczew","ul. Bema"
"03029468500000","5381633347","POWIATOWY URZĄD PRACY W RADZYNIU PODLASKIM","06","15","011","0922277","02837","10","","Radzyń Podlaski","ul. Chomiczewskiego"
"03029484000000","8251434906","POWIATOWY URZĄD PRACY W ŁUKOWIE","06","11","011","0975530","16264","14","","Łuków","ul. Józefa Piłsudskiego"
"03088488900000","5371998082","POWIATOWY URZĄD PRACY W BIAŁEJ PODLASKIEJ","06","61","011","0922018","02230","101","","Biała Podlaska","ul. Brzeska"
"05068493300000","9661487133","WOJEWÓDZKI URZĄD PRACY W BIAŁYMSTOKU","20","61","011","0922410","16900","22","","Białystok","ul. Pogodna"
"05086730300000","5451032536","POWIATOWY URZĄD PRACY W SOKÓŁCE","20","11","084","0923443","10069","40","","Sokółka","ul. Kryńska"
"05086730300022","5451032536","POWIATOWY URZĄD PRACY W SOKÓŁCE FILIA W DĄBROWIE BIAŁOSTOCKIEJ","20","11","014","0922923","21552","4A","","Dąbrowa Białostocka","ul. gen. Nikodema Sulika"
"05086909300000","5431015138","POWIATOWY URZĄD PRACY W HAJNÓWCE","20","05","011","0923035","36029","10A","","Hajnówka","ul. Marszałka Józefa Piłsudskiego"
"05086921300000","9660590610","POWIATOWY URZĄD PRACY","20","61","011","0922410","16900","63/1","","Białystok","ul. Pogodna"
"05086975600000","5431015121","POWIATOWY URZĄD PRACY W BIELSKU PODLASKIM","20","03","011","0922685","11937","17","","Bielsk Podlaski","ul. 3 Maja"
"05086981600000","5441175642","POWIATOWY URZĄD PRACY W SIEMIATYCZACH","20","10","011","0923360","10772","3","","Siemiatycze","ul. Legionów Piłsudskiego"
"07231977700000","5481041600","POWIATOWY URZĄD PRACY","24","03","011","0924158","24685","6","","Cieszyn","pl. Wolności"
"07232033200000","5532167358","POWIATOWY URZĄD PRACY W ŻYWCU","24","17","011","0927642","11577","28","","Żywiec","ul. Łączna"
"07232097000000","9371494633","POWIATOWY URZĄD PRACY W BIELSKU-BIAŁEJ","24","61","011","0923584","15733","55","","Bielsko-Biała","ul. Partyzantów"
"07232309800000","6381722092","POWIATOWY URZĄD PRACY","24","10","054","0942222","04434","23","","Pszczyna","ul. Dworcowa"
"09012213800000","5561109406","POWIATOWY URZĄD PRACY","04","07","011","0928989","12569","17","","Inowrocław","ul. Mątewska"
"09250651200000","5591130670","POWIATOWY URZĄD PRACY W ŚWIECIU","04","14","094","0929664","24628","195A","","Świecie","ul. Wojska Polskiego"
"09250659300000","5611373052","POWIATOWY URZĄD PRACY W TUCHOLI","04","16","064","0929724","16415","23","","Tuchola","ul. Plac Wolności"
